run_id,stage,stage_description,model,train_seconds,doc_count,dictionary_size,perplexity,stage_train_seconds,documents,non_empty_docs,total_tokens,avg_tokens,median_tokens,min_tokens,max_tokens,std_tokens,unique_tokens,vocab_size,coherence_c_v,coherence_u_mass,coherence_c_npmi,coherence_c_uci
20250921-205356,pos_filtered,"Removed 38382 tokens via POS/NER filtering (POS=38382, NER=0), docs_modified=3050",HDP1,1.160325288772583,3195,3256,1078.4906565819415,218.90132117271423,3195,3071,141962,46.22663627482905,38.0,0,131,29.388542872666477,17826,3256,0.6944559447850477,-19.00913433459467,-0.46219960805860133,-12.956471295094781
20250921-205356,pos_filtered,"Removed 38382 tokens via POS/NER filtering (POS=38382, NER=0), docs_modified=3050",HDP2,1.3151581287384033,3195,3256,201491.6147284423,218.90132117271423,3195,3071,141962,46.22663627482905,38.0,0,131,29.388542872666477,17826,3256,0.6987146108141755,-19.141628162690385,-0.46201992844121487,-12.942173468121728
20250921-205356,lemmatized,Lemmatized tokens with 47986 replacements across 3057 documents,LDA,4.2351906299591064,3195,2789,4.9459561295933575e+215,221.75584149360657,3195,3071,141962,46.22663627482905,38.0,0,131,29.388542872666477,15468,2789,0.4847438306022752,-3.999280009212979,-0.046627357541673575,-2.5712724418742297
20250921-205356,lemmatized,Lemmatized tokens with 47986 replacements across 3057 documents,HDP1,1.1367616653442383,3195,2789,851.4312538110803,221.75584149360657,3195,3071,141962,46.22663627482905,38.0,0,131,29.388542872666477,15468,2789,0.6866626075399299,-18.671676320014356,-0.45791935884308194,-12.81503294660098
20250921-205356,lemmatized,Lemmatized tokens with 47986 replacements across 3057 documents,HDP2,1.2940733432769775,3195,2789,63851.7007605235,221.75584149360657,3195,3071,141962,46.22663627482905,38.0,0,131,29.388542872666477,15468,2789,0.6884404995444113,-18.824915707741198,-0.45905285573296306,-12.865270817187104
20250921-205356,with_ngrams,Added bigram and trigram phrases,LDA,3.5671262741088867,3195,2942,1.2094226277503155e+243,222.05519795417786,3195,3071,136725,44.52132855747313,36.0,0,126,28.57862702037836,15751,2942,0.49315841809113936,-3.7836520917916987,-0.046473003211332235,-2.390394085707092
20250921-205356,with_ngrams,Added bigram and trigram phrases,HDP1,1.2458460330963135,3195,2942,937.2937112098144,222.05519795417786,3195,3071,136725,44.52132855747313,36.0,0,126,28.57862702037836,15751,2942,0.6871972667734214,-18.837632859463515,-0.46510408202094056,-13.025590375827589
20250921-205356,with_ngrams,Added bigram and trigram phrases,HDP2,1.3906071186065674,3195,2942,113525.31343434089,222.05519795417786,3195,3071,136725,44.52132855747313,36.0,0,126,28.57862702037836,15751,2942,0.6877730790737077,-18.867299401671463,-0.46048652173621163,-12.90387268611547
20250921-205356,min_words,Kept documents with >= 20 tokens (2477 of 3195),LDA,3.7208869457244873,2477,2833,2.4339504550111448e+191,224.86006212234497,2477,2477,128976,52.06943883730319,45.0,20,126,25.667055967106243,15144,2833,0.4631349021169661,-3.9182417767182343,-0.03838035364635772,-2.296514652460725
20250921-205356,min_words,Kept documents with >= 20 tokens (2477 of 3195),HDP1,0.9794003963470459,2477,2833,929.9161393170931,224.86006212234497,2477,2477,128976,52.06943883730319,45.0,20,126,25.667055967106243,15144,2833,0.7067475807940622,-19.142147921475907,-0.463019539223052,-12.967756186061315
20250921-205356,min_words,Kept documents with >= 20 tokens (2477 of 3195),HDP2,1.162323236465454,2477,2833,128527.22799443871,224.86006212234497,2477,2477,128976,52.06943883730319,45.0,20,126,25.667055967106243,15144,2833,0.7018757798369474,-19.20725488787604,-0.4665407702239569,-13.061132167770952
