run_id,stage,model,topic_index,metric,score
20250921-205356,tokenized,HDP2,74,u_mass,-20.27845588728143
20250921-205356,tokenized,HDP2,75,u_mass,-16.77043938108691
20250921-205356,tokenized,HDP2,76,u_mass,-19.27931614845728
20250921-205356,tokenized,HDP2,77,u_mass,-18.20053223937363
20250921-205356,tokenized,HDP2,78,u_mass,-20.593462081149866
20250921-205356,tokenized,HDP2,79,u_mass,-20.80713834952311
20250921-205356,tokenized,HDP2,80,u_mass,-19.639187265515393
20250921-205356,tokenized,HDP2,81,u_mass,-19.670739044572464
20250921-205356,tokenized,HDP2,82,u_mass,-20.56073404019205
20250921-205356,tokenized,HDP2,83,u_mass,-16.898766474972714
20250921-205356,tokenized,HDP2,84,u_mass,-18.34313594943312
20250921-205356,tokenized,HDP2,85,u_mass,-19.184429877549753
20250921-205356,tokenized,HDP2,86,u_mass,-17.20996713125828
20250921-205356,tokenized,HDP2,87,u_mass,-17.69305513083252
20250921-205356,tokenized,HDP2,88,u_mass,-20.548263323144333
20250921-205356,tokenized,HDP2,89,u_mass,-16.79226271838372
20250921-205356,tokenized,HDP2,90,u_mass,-19.610091127191254
20250921-205356,tokenized,HDP2,91,u_mass,-18.93325862219735
20250921-205356,tokenized,HDP2,92,u_mass,-15.71596951729494
20250921-205356,tokenized,HDP2,93,u_mass,-19.540770904934675
20250921-205356,tokenized,HDP2,94,u_mass,-19.839139481535618
20250921-205356,tokenized,HDP2,95,u_mass,-21.031543719355412
20250921-205356,tokenized,HDP2,96,u_mass,-17.796663993861504
20250921-205356,tokenized,HDP2,97,u_mass,-18.787549985779673
20250921-205356,tokenized,HDP2,98,u_mass,-15.597782995054326
20250921-205356,tokenized,HDP2,99,u_mass,-15.626431489399671
20250921-205356,tokenized,HDP2,0,c_npmi,-0.4325282848623812
20250921-205356,tokenized,HDP2,1,c_npmi,-0.3610321813093151
20250921-205356,tokenized,HDP2,2,c_npmi,-0.41313860940910874
20250921-205356,tokenized,HDP2,3,c_npmi,-0.38071068175360084
20250921-205356,tokenized,HDP2,4,c_npmi,-0.43389719855175907
20250921-205356,tokenized,HDP2,5,c_npmi,-0.4363367567582664
20250921-205356,tokenized,HDP2,6,c_npmi,-0.40732872994318786
20250921-205356,tokenized,HDP2,7,c_npmi,-0.4358189567168326
20250921-205356,tokenized,HDP2,8,c_npmi,-0.42925587715851815
20250921-205356,tokenized,HDP2,9,c_npmi,-0.3626259152656001
20250921-205356,tokenized,HDP2,10,c_npmi,-0.422850883915183
20250921-205356,tokenized,HDP2,11,c_npmi,-0.4316935264105718
20250921-205356,tokenized,HDP2,12,c_npmi,-0.43699529877521326
20250921-205356,tokenized,HDP2,13,c_npmi,-0.4186112760390127
20250921-205356,tokenized,HDP2,14,c_npmi,-0.4418562888273633
20250921-205356,tokenized,HDP2,15,c_npmi,-0.44343736890213564
20250921-205356,tokenized,HDP2,16,c_npmi,-0.43247229262541453
20250921-205356,tokenized,HDP2,17,c_npmi,-0.41013819633781035
20250921-205356,tokenized,HDP2,18,c_npmi,-0.4069536300500316
20250921-205356,tokenized,HDP2,19,c_npmi,-0.4216429546652625
20250921-205356,tokenized,HDP2,20,c_npmi,-0.4260888994322195
20250921-205356,tokenized,HDP2,21,c_npmi,-0.4383614871702566
20250921-205356,tokenized,HDP2,22,c_npmi,-0.4215552033375997
20250921-205356,tokenized,HDP2,23,c_npmi,-0.42261539819203625
20250921-205356,tokenized,HDP2,24,c_npmi,-0.4076399265835495
